CaO,Al2O3,SiO2,molar_volume,density,youngs_modulus,shear_modulus,bulk_modulus,poisson_ratio,fracture_toughess
36.28,26.8,36.91,24.962719342387423,2.798,98.59502929,38.610640841,,0.2767857142803956,
61.7,29.2,9.1,,,,38.8,,,
66.0,30.0,4.0,23.72958779661016,2.95,99.97398074799999,,,,
64.0,32.0,4.0,23.95943783783784,2.96,99.97398074799999,,,,
64.0,32.0,4.0,23.95943783783784,2.96,100.1,,,,
66.0,30.0,4.0,23.72958779661016,2.95,100.1,,,,
63.0,30.0,7.0,23.68998716216216,2.96,100.66345648,,,,
63.0,30.0,7.0,23.68998716216216,2.96,100.7,,,,
60.0,30.0,10.0,23.73055405405405,2.96,101.35293221,,,,
60.0,30.0,10.0,23.73055405405405,2.96,101.4,,,,
60.0,30.0,10.0,23.9735290102389,2.93,106.4,,,,
40.0,30.0,30.0,25.01512676056338,2.84,103.6,,,,
36.0,24.0,40.0,24.682092705713263,2.783,102.2,,,,
36.0,24.0,40.0,24.65551471643934,2.786,105.7,,,,
41.9,16.2,41.9,22.95333471830986,2.84,98.0,,,,0.7
17.7,35.0,47.3,27.935675396226422,2.65,77.27640199999998,,,,
25.0,25.0,50.0,25.29067272727273,2.75,120.0,,,,3.7
25.0,25.0,50.0,24.66289007092199,2.82,120.0,,,,3.9
25.0,25.0,50.0,24.83905357142858,2.8,115.0,,,,3.3
25.0,25.0,50.0,25.75901851851852,2.7,90.0,,,,2.0
20.4,25.0,54.6,26.61582809160306,2.62,70.7059465,,,,
29.27,16.1,54.63,24.324238228973687,2.699,84.9,,,,
40.0,0.0,60.0,20.88534285714286,2.8,86.9,,,,
30.0,10.0,60.0,23.35822962962963,2.7,89.0,,,,0.77
30.0,10.0,60.0,23.35822962962963,2.7,89.4,,,,
23.3,14.7,62.0,25.116828538461537,2.6,67.17555250000001,,,,
13.98,23.72,62.3,26.972571852427176,2.575,79.28970887,,,,
16.41,15.32,68.27,25.56861721941747,2.575,79.281,,,,
0.0,0.0,100.0,27.30909090909091,2.2,76.1,,,,
63.69,28.23,8.08,,,105.6,,,,
36.0,24.0,40.0,,,102.2,,,,
40.0,20.0,40.0,,,88.0,,,,
48.0,12.0,40.0,,,86.0,,,,
40.0,20.0,40.0,,,100.0,,,,
36.0,24.0,40.0,,,99.6,,,,
45.29,12.45,42.26,,,86.24,,,,
30.0,10.0,60.0,,,86.2,,,,
